Направление подготовки: Лечебное дело,,,,,,,
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
23,3597340,292,"Биология - 93
Химия - 100 Русский язык - 89",10,,1,Нет
24,3906990,292,"Биология - 93
Химия - 100 Русский язык - 89",10,,1,Нет
25,4215282,292,"Биология - 90
Химия - 100 Русский язык - 94",8,,1,Нет
26,4000639,292,"Биология - 88
Химия - 97 Русский язык - 97",10,,1,Нет
27,3682991,291,"Биология - 95
Химия - 97 Русский язык - 89",10,,2,Нет
28,3967290,291,"Биология - 95
Химия - 97 Русский язык - 89",10,,3,Согласие
29,3958616,291,"Биология - 95
Химия - 95 Русский язык - 91",10,,1,Нет
30,4203211,291,"Биология - 93
Химия - 97 Русский язык - 91",10,,1,Согласие
31,3864219,291,"Биология - 90
Химия - 100 Русский язык - 91",10,,1,Нет
32,3844035,291,"Биология - 86
Химия - 100 Русский язык - 100",5,,1,Нет
33,3887767,290,"Биология - 91
Химия - 100 Русский язык - 89",10,,2,Нет
34,4002846,290,"Биология - 91
Химия - 97 Русский язык - 94",8,,2,Нет
35,3915965,289,"Биология - 96
Химия - 100 Русский язык - 83",10,,2,Нет
36,3982807,289,"Биология - 96
Химия - 100 Русский язык - 83",10,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
37,3922641,289,"Биология - 91
Химия - 97 Русский язык - 91",10,,4,Нет
38,3712856,289,"Биология - 90
Химия - 100 Русский язык - 91",8,,1,Нет
39,3974551,289,"Биология - 90
Химия - 100 Русский язык - 91",8,,1,Нет
40,4027290,289,"Биология - 90
Химия - 95 Русский язык - 94",10,,2,Согласие
41,3944307,289,"Биология - 90
Химия - 95 Русский язык - 94",10,,1,Нет
42,4007428,289,"Биология - 83
Химия - 99 Русский язык - 97",10,Пр.право,1,Нет
43,3581373,288,"Биология - 98
Химия - 93 Русский язык - 89",8,,2,Нет
44,4204304,288,"Биология - 95
Химия - 99 Русский язык - 89",5,,5,Нет
45,4029570,287,"Биология - 98
Химия - 97 Русский язык - 89",3,,1,Нет
46,4037235,287,"Биология - 90
Химия - 100 Русский язык - 89",8,,1,Нет
47,3842524,287,"Биология - 86
Химия - 100 Русский язык - 91",10,,1,Нет
48,3841961,287,"Биология - 80
Химия - 100 Русский язык - 97",10,,3,Согласие
49,3878770,286,"Биология - 86
Химия - 99 Русский язык - 91",10,,1,Нет
50,4023761,286,"Биология - 83
Химия - 95 Русский язык - 100",8,,2,Нет
51,4045723,285,"Биология - 95
Химия - 99 Русский язык - 86",5,,2,Нет
52,3868676,285,"Биология - 93
Химия - 99 Русский язык - 83",10,,2,Нет
53,3762264,285,"Биология - 91
Химия - 100 Русский язык - 89",5,,2,Нет
54,3867335,284,"Биология - 100
Химия - 99 Русский язык - 75",10,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
55,3919307,284,"Биология - 93
Химия - 100 Русский язык - 83",8,,2,Согласие
56,4076386,284,"Биология - 93
Химия - 97 Русский язык - 94",0,,1,Нет
57,4227006,284,"Биология - 86
Химия - 99 Русский язык - 94",5,,1,Нет
58,3983550,283,"Биология - 96
Химия - 95 Русский язык - 86",6,,1,Нет
59,3871225,283,"Биология - 90
Химия - 97 Русский язык - 91",5,,1,Нет
60,3615754,283,"Биология - 90
Химия - 97 Русский язык - 86",10,,1,Согласие
61,4034468,282,"Биология - 91
Химия - 100 Русский язык - 86",5,,1,Согласие
62,3799040,282,"Биология - 91
Химия - 100 Русский язык - 83",8,,1,Нет
63,3925156,282,"Биология - 91
Химия - 100 Русский язык - 81",10,,1,Согласие
64,4027592,282,"Биология - 85
Химия - 95 Русский язык - 94",8,,1,Нет
65,4194149,282,"Биология - 85
Химия - 93 Русский язык - 94",10,,2,Нет
66,3869882,282,"Биология - 83
Химия - 100 Русский язык - 89",10,,2,Согласие
67,3784446,281,"Биология - 98
Химия - 97 Русский язык - 86",0,,2,Нет
68,3846348,281,"Биология - 95
Химия - 100 Русский язык - 86",0,,1,Нет
69,3955783,281,"Биология - 91
Химия - 91 Русский язык - 94",5,,1,Нет
70,3560868,281,"Биология - 90
Химия - 100 Русский язык - 83",8,,2,Нет
71,3873792,281,"Биология - 88
Химия - 100 Русский язык - 86",7,,2,Нет
72,3867701,281,"Биология - 85
Химия - 100 Русский язык - 86",10,,1,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
73,3612952,281,"Биология - 85
Химия - 97 Русский язык - 94",5,,1,Нет
74,3982307,281,"Биология - 85
Химия - 97 Русский язык - 89",10,,1,Нет
75,4236845,281,"Биология - 85
Химия - 95 Русский язык - 91",10,,1,Согласие
76,3698207,281,"Биология - 83
Химия - 97 Русский язык - 91",10,,1,Нет
77,4205100,280,"Биология - 95
Химия - 90 Русский язык - 86",9,,1,Нет
78,4034291,280,"Биология - 90
Химия - 99 Русский язык - 83",8,,2,Нет
79,3653745,280,"Биология - 86
Химия - 100 Русский язык - 89",5,,2,Нет
80,3852186,280,"Биология - 86
Химия - 95 Русский язык - 91",8,,1,Нет
81,3628141,280,"Биология - 81
Химия - 100 Русский язык - 89",10,,1,Нет
82,3951132,279,"Биология - 90
Химия - 100 Русский язык - 89",0,,2,Нет
83,3868672,279,"Биология - 90
Химия - 95 Русский язык - 94",0,,1,Нет
84,3956063,279,"Биология - 90
Химия - 93 Русский язык - 86",10,,1,Нет
85,3982554,279,"Биология - 88
Химия - 100 Русский язык - 81",10,,8,Нет
86,3894635,279,"Биология - 86
Химия - 100 Русский язык - 83",10,,1,Согласие
87,4053319,278,"Биология - 96
Химия - 99 Русский язык - 73",10,,1,Согласие
88,4057205,278,"Биология - 95
Химия - 84 Русский язык - 89",10,,1,Нет
89,3878872,278,"Биология - 90
Химия - 100 Русский язык - 83",5,,1,Нет
90,4017326,278,"Биология - 90
Химия - 99 Русский язык - 81",8,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
91,4245861,278,"Биология - 88
Химия - 99 Русский язык - 81",10,,2,Согласие
92,4006334,278,"Биология - 88
Химия - 91 Русский язык - 89",10,,2,Нет
93,3950875,278,"Биология - 86
Химия - 93 Русский язык - 91",8,,1,Нет
94,4173260,278,"Биология - 86
Химия - 93 Русский язык - 89",10,,1,Нет
95,4168064,278,"Биология - 83
Химия - 99 Русский язык - 89",7,,1,Нет
96,3920891,278,"Биология - 83
Химия - 91 Русский язык - 94",10,,3,Согласие
97,3866667,278,"Биология - 83
Химия - 91 Русский язык - 94",10,,2,Нет
98,3850052,278,"Биология - 83
Химия - 91 Русский язык - 94",10,,1,Согласие
99,3913098,278,"Биология - 80
Химия - 99 Русский язык - 89",10,,1,Согласие
100,3902318,278,"Биология - 78
Химия - 99 Русский язык - 91",10,,4,Нет
101,3647841,277,"Биология - 100
Химия - 99 Русский язык - 78",0,,2,Нет
102,3710326,277,"Биология - 86
Химия - 100 Русский язык - 83",8,,1,Согласие
103,4222499,277,"Биология - 86
Химия - 95 Русский язык - 86",10,,5,Нет
104,4174466,277,"Биология - 86
Химия - 84 Русский язык - 97",10,,1,Нет
105,4027976,277,"Биология - 85
Химия - 95 Русский язык - 89",8,,2,Нет
106,3640589,277,"Биология - 83
Химия - 100 Русский язык - 86",8,,1,Согласие
107,3811387,277,"Биология - 79
Химия - 99 Русский язык - 89",10,,2,Нет
108,4018284,277,"Биология - 79
Химия - 97 Русский язык - 91",10,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
109,3978330,276,"Биология - 91
Химия - 100 Русский язык - 75",10,,2,Нет
110,4011299,276,"Биология - 91
Химия - 97 Русский язык - 83",5,,1,Нет
111,3598568,276,"Биология - 91
Химия - 88 Русский язык - 89",8,,1,Нет
112,3825543,276,"Биология - 88
Химия - 97 Русский язык - 86",5,,1,Нет
113,3819968,276,"Биология - 86
Химия - 99 Русский язык - 83",8,,6,Нет
114,4097666,276,"Биология - 86
Химия - 97 Русский язык - 83",10,,1,Нет
115,4127920,276,"Биология - 80
Химия - 97 Русский язык - 89",10,,1,Нет
116,4016748,276,"Биология - 77
Химия - 100 Русский язык - 94",5,,2,Нет
117,4129752,275,"Биология - 90
Химия - 100 Русский язык - 75",10,,2,Согласие
118,3931384,275,"Биология - 90
Химия - 97 Русский язык - 83",5,,2,Нет
119,3943196,275,"Биология - 88
Химия - 91 Русский язык - 91",5,,1,Нет
120,4102243,275,"Биология - 88
Химия - 88 Русский язык - 94",5,,1,Нет
121,3594772,275,"Биология - 85
Химия - 99 Русский язык - 91",0,,1,Нет
122,4230075,275,"Биология - 85
Химия - 97 Русский язык - 83",10,,1,Нет
123,3596579,275,"Биология - 83
Химия - 95 Русский язык - 89",8,,2,Нет
124,4081694,275,"Биология - 81
Химия - 95 Русский язык - 91",8,,2,Нет
125,3856876,275,"Биология - 81
Химия - 90 Русский язык - 94",10,,2,Нет
126,4149967,274,"Биология - 93
Химия - 90 Русский язык - 83",8,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
127,4231596,274,"Биология - 90
Химия - 93 Русский язык - 86",5,,1,Нет
128,3934356,274,"Биология - 90
Химия - 88 Русский язык - 91",5,,1,Нет
129,3699550,274,"Биология - 86
Химия - 100 Русский язык - 83",5,,1,Нет
130,4015606,274,"Биология - 86
Химия - 100 Русский язык - 83",5,,1,Нет
131,3871500,274,"Биология - 86
Химия - 99 Русский язык - 81",8,,26,Нет
132,3768951,274,"Биология - 86
Химия - 84 Русский язык - 94",10,,1,Согласие
133,3890898,274,"Биология - 83
Химия - 100 Русский язык - 81",10,,3,Согласие
134,4200917,274,"Биология - 83
Химия - 90 Русский язык - 91",10,,1,Нет
135,3924573,274,"Биология - 78
Химия - 97 Русский язык - 94",5,,1,Нет
136,4017382,274,"Биология - 78
Химия - 95 Русский язык - 94",7,,3,Нет
137,3867170,273,"Биология - 96
Химия - 93 Русский язык - 78",6,,1,Нет
138,4010247,273,"Биология - 90
Химия - 97 Русский язык - 81",5,,2,Нет
139,3609538,273,"Биология - 90
Химия - 84 Русский язык - 89",10,,1,Нет
140,3657660,273,"Биология - 88
Химия - 86 Русский язык - 89",10,,1,Нет
141,4133912,273,"Биология - 85
Химия - 91 Русский язык - 94",3,,1,Согласие
142,3941492,273,"Биология - 81
Химия - 97 Русский язык - 89",6,,1,Нет
143,3771948,273,"Биология - 81
Химия - 95 Русский язык - 89",8,Пр.право,2,Нет
144,3912154,273,"Биология - 77
Химия - 95 Русский язык - 91",10,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
145,4053781,272,"Биология - 93
Химия - 95 Русский язык - 78",6,,3,Нет
146,3862698,272,"Биология - 93
Химия - 88 Русский язык - 81",10,,2,Нет
147,4008629,272,"Биология - 88
Химия - 93 Русский язык - 81",10,,1,Нет
148,4065176,272,"Биология - 88
Химия - 90 Русский язык - 89",5,,4,Нет
149,3910728,272,"Биология - 83
Химия - 90 Русский язык - 89",10,Пр.право,1,Нет
150,3958190,272,"Биология - 79
Химия - 100 Русский язык - 83",10,,1,Нет
151,4185345,271,"Биология - 93
Химия - 95 Русский язык - 83",0,,2,Нет
152,3732253,271,"Биология - 90
Химия - 95 Русский язык - 86",0,,1,Нет
153,4103767,271,"Биология - 88
Химия - 100 Русский язык - 83",0,,1,Нет
154,3971208,271,"Биология - 83
Химия - 84 Русский язык - 94",10,,2,Нет
155,3950341,271,"Биология - 80
Химия - 95 Русский язык - 86",10,,2,Нет
156,3951666,270,"Биология - 91
Химия - 88 Русский язык - 91",0,,2,Нет
157,3757987,270,"Биология - 88
Химия - 99 Русский язык - 83",0,,1,Нет
158,4025481,270,"Биология - 86
Химия - 93 Русский язык - 81",10,,1,Нет
159,4195052,270,"Биология - 86
Химия - 93 Русский язык - 81",10,,1,Согласие
160,4025163,270,"Биология - 86
Химия - 88 Русский язык - 91",5,,1,Нет
161,3853487,270,"Биология - 85
Химия - 86 Русский язык - 89",10,,2,Нет
162,4020333,270,"Биология - 83
Химия - 88 Русский язык - 94",5,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
163,3833901,270,"Биология - 81
Химия - 88 Русский язык - 91",10,,1,Нет
164,3944267,270,"Биология - 81
Химия - 88 Русский язык - 91",10,,3,Согласие
165,3837674,270,"Биология - 80
Химия - 97 Русский язык - 83",10,,1,Нет
166,3998959,270,"Биология - 80
Химия - 93 Русский язык - 89",8,,1,Нет
167,4172887,270,"Биология - 78
Химия - 93 Русский язык - 89",10,,2,Нет
168,3591433,270,"Биология - 75
Химия - 90 Русский язык - 97",8,Пр.право,1,Нет
169,4228916,269,"Биология - 91
Химия - 90 Русский язык - 83",5,,1,Нет
170,3593305,269,"Биология - 90
Химия - 97 Русский язык - 72",10,,1,Согласие
171,3864762,269,"Биология - 88
Химия - 93 Русский язык - 83",5,,1,Нет
172,4102790,269,"Биология - 88
Химия - 82 Русский язык - 89",10,,1,Нет
173,4055339,269,"Биология - 85
Химия - 99 Русский язык - 75",10,,1,Нет
174,3868299,269,"Биология - 85
Химия - 99 Русский язык - 75",10,,1,Нет
175,4067341,269,"Биология - 85
Химия - 93 Русский язык - 81",10,,1,Нет
176,4225079,269,"Биология - 85
Химия - 91 Русский язык - 83",10,,2,Нет
177,4148006,269,"Биология - 83
Химия - 100 Русский язык - 86",0,,2,Нет
178,3611050,269,"Биология - 81
Химия - 95 Русский язык - 83",10,,2,Нет
179,3945197,269,"Биология - 80
Химия - 95 Русский язык - 89",5,,1,Нет
180,4069197,269,"Биология - 79
Химия - 93 Русский язык - 89",8,,2,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
181,3785711,268,"Биология - 85
Химия - 86 Русский язык - 89",8,Пр.право,8,Нет
182,3568056,268,"Биология - 83
Химия - 88 Русский язык - 94",3,,1,Нет
183,3605464,268,"Биология - 81
Химия - 91 Русский язык - 86",10,,2,Нет
184,3849815,268,"Биология - 79
Химия - 91 Русский язык - 91",7,,1,Нет
185,3790871,268,"Биология - 78
Химия - 99 Русский язык - 91",0,,1,Нет
186,3959246,268,"Биология - 78
Химия - 91 Русский язык - 94",5,,2,Нет
187,3961778,267,"Биология - 95
Химия - 84 Русский язык - 83",5,,2,Нет
188,3868026,267,"Биология - 93
Химия - 99 Русский язык - 75",0,,2,Нет
189,3893535,267,"Биология - 86
Химия - 88 Русский язык - 83",10,,2,Нет
190,3857934,267,"Биология - 85
Химия - 97 Русский язык - 75",10,,1,Нет
191,3901636,267,"Биология - 85
Химия - 93 Русский язык - 89",0,,2,Нет
192,4063189,267,"Биология - 83
Химия - 90 Русский язык - 94",0,,5,Нет
193,3918211,267,"Биология - 79
Химия - 95 Русский язык - 83",10,,1,Нет
194,3731915,267,"Биология - 77
Химия - 93 Русский язык - 94",3,,1,Нет
195,3906792,267,"Биология - 73
Химия - 97 Русский язык - 89",8,,3,Нет
196,4220885,266,"Биология - 98
Химия - 99 Русский язык - 69",0,,2,Нет
197,3869571,266,"Биология - 96
Химия - 77 Русский язык - 83",10,,2,Нет
198,3948662,266,"Биология - 91
Химия - 93 Русский язык - 81",1,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
199,4028971,266,"Биология - 86
Химия - 86 Русский язык - 89",5,,1,Нет
200,3585700,266,"Биология - 85
Химия - 95 Русский язык - 81",5,,4,Нет
201,3989779,266,"Биология - 81
Химия - 97 Русский язык - 83",5,,3,Нет
202,4074837,266,"Биология - 80
Химия - 93 Русский язык - 83",10,,1,Согласие
203,3585199,266,"Биология - 80
Химия - 90 Русский язык - 91",5,,2,Нет
204,3656041,266,"Биология - 79
Химия - 95 Русский язык - 91",1,,2,Нет
205,3924014,266,"Биология - 79
Химия - 91 Русский язык - 91",5,,1,Нет
206,3877912,266,"Биология - 78
Химия - 100 Русский язык - 78",10,,2,Нет
207,3569912,266,"Биология - 73
Химия - 100 Русский язык - 83",10,,3,Согласие
208,4026703,265,"Биология - 96
Химия - 93 Русский язык - 70",6,,2,Нет
209,3952797,265,"Биология - 88
Химия - 99 Русский язык - 78",0,,1,Нет
210,3623816,265,"Биология - 88
Химия - 88 Русский язык - 81",8,Пр.право,1,Нет
211,3792731,265,"Биология - 85
Химия - 99 Русский язык - 78",3,,1,Нет
212,4105960,265,"Биология - 83
Химия - 86 Русский язык - 86",10,,2,Нет
213,3924374,265,"Биология - 79
Химия - 100 Русский язык - 78",8,,1,Нет
214,4134713,265,"Биология - 79
Химия - 95 Русский язык - 81",10,,1,Нет
215,3902739,265,"Биология - 79
Химия - 90 Русский язык - 86",10,,1,Нет
216,4145451,265,"Биология - 77
Химия - 97 Русский язык - 83",8,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
217,4108288,265,"Биология - 73
Химия - 90 Русский язык - 94",8,Пр.право,1,Нет
218,4248023,264,"Биология - 95
Химия - 86 Русский язык - 83",0,,1,Нет
219,3593238,264,"Биология - 93
Химия - 93 Русский язык - 78",0,,1,Нет
220,4154868,264,"Биология - 90
Химия - 91 Русский язык - 78",5,,1,Нет
221,3866426,264,"Биология - 86
Химия - 95 Русский язык - 73",10,,1,Нет
222,3660972,264,"Биология - 86
Химия - 79 Русский язык - 94",5,,1,Нет
223,4011444,264,"Биология - 83
Химия - 99 Русский язык - 72",10,,2,Нет
224,3792980,264,"Биология - 83
Химия - 90 Русский язык - 81",10,,1,Согласие
225,4195786,264,"Биология - 81
Химия - 97 Русский язык - 86",0,Пр.право,1,Нет
226,4062998,264,"Биология - 80
Химия - 99 Русский язык - 75",10,,2,Согласие
227,3710302,264,"Биология - 80
Химия - 93 Русский язык - 86",5,,2,Нет
228,3770902,264,"Биология - 80
Химия - 93 Русский язык - 81",10,,1,Нет
229,3596128,264,"Биология - 80
Химия - 91 Русский язык - 83",10,,3,Нет
230,4096982,264,"Биология - 78
Химия - 95 Русский язык - 91",0,,1,Нет
231,4138172,264,"Биология - 78
Химия - 95 Русский язык - 91",0,,1,Нет
232,3871228,264,"Биология - 76
Химия - 97 Русский язык - 86",5,,2,Нет
233,3868429,264,"Биология - 75
Химия - 100 Русский язык - 81",8,,2,Нет
234,3560051,264,"Биология - 75
Химия - 88 Русский язык - 91",10,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
235,4096385,264,"Биология - 75
Химия - 88 Русский язык - 91",10,,2,Нет
236,3661594,264,"Биология - 71
Химия - 86 Русский язык - 97",10,Пр.право,2,Нет
237,4244359,263,"Биология - 90
Химия - 93 Русский язык - 70",10,,1,Согласие
238,4018316,263,"Биология - 86
Химия - 97 Русский язык - 72",8,,3,Нет
239,4103505,263,"Биология - 86
Химия - 86 Русский язык - 86",5,,1,Нет
240,3833219,263,"Биология - 83
Химия - 91 Русский язык - 86",3,,1,Нет
241,3862060,263,"Биология - 83
Химия - 86 Русский язык - 89",5,,1,Нет
242,3935153,263,"Биология - 81
Химия - 91 Русский язык - 86",5,,1,Нет
243,3927230,263,"Биология - 81
Химия - 91 Русский язык - 86",5,,1,Нет
244,3945732,263,"Биология - 80
Химия - 100 Русский язык - 75",8,,1,Нет
245,3955317,263,"Биология - 80
Химия - 90 Русский язык - 83",10,,2,Нет
246,3704029,263,"Биология - 79
Химия - 99 Русский язык - 75",10,,3,Согласие
247,3972623,263,"Биология - 79
Химия - 95 Русский язык - 89",0,,1,Нет
248,4099773,263,"Биология - 77
Химия - 95 Русский язык - 83",8,,1,Нет
249,3806892,262,"Биология - 86
Химия - 93 Русский язык - 78",5,,1,Нет
250,3645274,262,"Биология - 86
Химия - 88 Русский язык - 83",5,,2,Нет
251,4100366,262,"Биология - 85
Химия - 97 Русский язык - 72",8,,1,Нет
252,3813998,262,"Биология - 83
Химия - 88 Русский язык - 83",8,,2,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
253,3615556,262,"Биология - 82
Химия - 88 Русский язык - 87",5,,4,Нет
254,3912490,262,"Биология - 81
Химия - 100 Русский язык - 81",0,,1,Согласие
255,4005201,262,"Биология - 80
Химия - 88 Русский язык - 86",8,,2,Нет
256,3845119,262,"Биология - 79
Химия - 97 Русский язык - 78",8,,1,Нет
257,3991555,262,"Биология - 79
Химия - 97 Русский язык - 78",8,,4,Нет
258,3988623,262,"Биология - 79
Химия - 95 Русский язык - 83",5,,1,Нет
259,3844695,262,"Биология - 79
Химия - 93 Русский язык - 83",7,,1,Нет
260,4030257,262,"Биология - 78
Химия - 93 Русский язык - 86",5,,1,Нет
261,3954071,261,"Биология - 86
Химия - 97 Русский язык - 73",5,,1,Нет
262,3912327,261,"Биология - 85
Химия - 95 Русский язык - 81",0,,2,Нет
263,3953585,261,"Биология - 85
Химия - 90 Русский язык - 81",5,,2,Нет
264,3621409,261,"Биология - 83
Химия - 97 Русский язык - 81",0,,2,Нет
265,3697713,261,"Биология - 80
Химия - 99 Русский язык - 72",10,,2,Нет
266,4142041,261,"Биология - 80
Химия - 95 Русский язык - 86",0,,1,Нет
267,3561533,261,"Биология - 80
Химия - 90 Русский язык - 86",5,,3,Нет
268,3936456,261,"Биология - 79
Химия - 97 Русский язык - 75",10,,1,Нет
269,3940525,261,"Биология - 76
Химия - 99 Русский язык - 78",8,,1,Нет
270,4056567,261,"Биология - 75
Химия - 100 Русский язык - 81",5,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
271,3825238,260,"Биология - 86
Химия - 99 Русский язык - 70",5,,2,Нет
272,4104052,260,"Биология - 86
Химия - 91 Русский язык - 73",10,,1,Нет
273,3955599,260,"Биология - 85
Химия - 84 Русский язык - 91",0,,3,Нет
274,3617386,260,"Биология - 83
Химия - 93 Русский язык - 81",3,,1,Нет
275,4147738,260,"Биология - 79
Химия - 95 Русский язык - 86",0,,2,Нет
276,4146261,260,"Биология - 78
Химия - 93 Русский язык - 89",0,,1,Согласие
277,4142152,260,"Биология - 78
Химия - 75 Русский язык - 97",10,,1,Нет
278,3976376,260,"Биология - 77
Химия - 95 Русский язык - 78",10,,1,Согласие
279,4022046,260,"Биология - 77
Химия - 86 Русский язык - 89",8,,2,Нет
280,4186361,260,"Биология - 76
Химия - 95 Русский язык - 86",3,,1,Нет
281,3696958,260,"Биология - 76
Химия - 93 Русский язык - 83",8,,14,Нет
282,4157780,260,"Биология - 72
Химия - 97 Русский язык - 81",10,,1,Нет
283,3949558,259,"Биология - 88
Химия - 78 Русский язык - 86",7,,1,Нет
284,3640570,259,"Биология - 86
Химия - 93 Русский язык - 75",5,,1,Нет
285,3878525,259,"Биология - 85
Химия - 90 Русский язык - 81",3,,1,Нет
286,3933847,259,"Биология - 85
Химия - 88 Русский язык - 86",0,,2,Согласие
287,3648163,259,"Биология - 81
Химия - 99 Русский язык - 72",7,,1,Согласие
288,3965689,259,"Биология - 80
Химия - 88 Русский язык - 81",10,,2,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
289,4028750,259,"Биология - 80
Химия - 80 Русский язык - 89",10,,4,Нет
290,3657260,259,"Биология - 77
Химия - 88 Русский язык - 89",5,,2,Нет
291,3950006,259,"Биология - 72
Химия - 93 Русский язык - 89",5,,10,Нет
292,3846539,258,"Биология - 90
Химия - 93 Русский язык - 72",3,,6,Нет
293,3987211,258,"Биология - 88
Химия - 79 Русский язык - 81",10,,2,Нет
294,3904700,258,"Биология - 83
Химия - 79 Русский язык - 86",10,,3,Нет
295,3846998,258,"Биология - 81
Химия - 91 Русский язык - 81",5,,2,Нет
296,4028390,258,"Биология - 81
Химия - 88 Русский язык - 86",3,,1,Нет
297,4030312,258,"Биология - 80
Химия - 84 Русский язык - 89",5,,3,Нет
298,3864743,258,"Биология - 79
Химия - 91 Русский язык - 83",5,,1,Нет
299,4008777,258,"Биология - 78
Химия - 97 Русский язык - 73",10,,3,Согласие
300,4242215,258,"Биология - 78
Химия - 95 Русский язык - 75",10,,1,Нет
301,4055367,258,"Биология - 76
Химия - 80 Русский язык - 94",8,,2,Нет
302,3869137,258,"Биология - 75
Химия - 97 Русский язык - 78",8,,2,Нет
303,3818461,258,"Биология - 71
Химия - 90 Русский язык - 94",3,,2,Нет
304,4045712,257,"Биология - 93
Химия - 93 Русский язык - 66",5,,2,Нет
305,3860486,257,"Биология - 86
Химия - 91 Русский язык - 75",5,,1,Нет
306,4235712,257,"Биология - 86
Химия - 80 Русский язык - 81",10,,1,Согласие
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
307,3561148,257,"Биология - 86
Химия - 78 Русский язык - 83",10,,1,Нет
308,3952735,257,"Биология - 81
Химия - 91 Русский язык - 75",10,,1,Согласие
309,4036236,257,"Биология - 81
Химия - 80 Русский язык - 86",10,,1,Нет
310,3945852,257,"Биология - 81
Химия - 66 Русский язык - 100",10,,1,Нет
311,4171802,257,"Биология - 79
Химия - 86 Русский язык - 86",6,,3,Нет
312,4026658,257,"Биология - 79
Химия - 84 Русский язык - 86",8,,1,Нет
313,3955113,257,"Биология - 78
Химия - 91 Русский язык - 81",7,,1,Нет
314,4238641,257,"Биология - 77
Химия - 99 Русский язык - 81",0,,1,Нет
315,4017331,257,"Биология - 77
Химия - 95 Русский язык - 75",10,,1,Согласие
316,3998866,257,"Биология - 73
Химия - 88 Русский язык - 86",10,,1,Нет
317,3959996,256,"Биология - 83
Химия - 95 Русский язык - 73",5,,1,Нет
318,3984480,256,"Биология - 83
Химия - 88 Русский язык - 75",10,Пр.право,2,Нет
319,3832261,256,"Биология - 81
Химия - 82 Русский язык - 83",10,,2,Согласие
320,3650373,256,"Биология - 80
Химия - 99 Русский язык - 69",8,,1,Согласие
321,3648741,256,"Биология - 80
Химия - 90 Русский язык - 86",0,,1,Нет
